Qty;Value;Device;Package;Parts;Description;Digikey P/N;Vendor;Vendor P/N
1;;DCBARRELSMT;DCJACK_2MM_SMT;CN1;2.0mm DC Barrel Jack;CP-002AHPJCT-ND;CUI;PJ-002AH-SMT-TR
1;;DIODESOD-523;SOD-523;D1;Diode;DB2S20500LCT-ND;Panasonic;DB2S20500L
3;;LEDCHIPLED_0805;CHIPLED_0805;LED1, LED2, LED3;LED;div.;;
1;;R-EU_R0603;R0603;R1;RESISTOR, European symbol;;;
4;100n;C-EUC0603K;C0603K;C4, C5, C6, C7;CAPACITOR, European symbol;;;
1;10K;R-EU_R0603;R0603;R7;RESISTOR, European symbol;;;
1;10k;R-EU_R0603;R0603;R2;RESISTOR, European symbol;;;
1;10u;C-EUC0805K;C0805K;C3;CAPACITOR, European symbol;;;
2;18p;C-EUC0603K;C0603K;C1, C2;CAPACITOR, European symbol;;;
1;1k5;R-EU_R0603;R0603;R3;RESISTOR, European symbol;RMCF0603FT1K50CT-ND;;
3;470;R-EU_R0603;R0603;R4, R5, R6;RESISTOR, European symbol;;;
1;4MHz;CRYSTALHC49UP;HC49UP;X1;CRYSTAL;CTX879CT-ND;;
1;AT90S2313S;AT90S2313S;SO20L;IC1;MICROCONTROLLER;ATTINY4313-SURCT-ND;;
4;BSS84;BSS84;SOT23;Q1, Q2, Q3, Q4;P-CHANNEL MOS FET;;Taiwan Semiconductor;TSM2301CX
1;BT-HC-05;BT-HC-05;BT-HC-05;U$1;;;;
1;CRYSTALTFORK_SMD;CRYSTALTFORK_SMD;TFORK_SMD;X2;;300-8736-1-ND;Citizen;CMR200T-32.768KDZY-UT
1;PCF2123TSSOP14;PCF2123TSSOP14;TSSOP14;IC2;edit this description;568-4534-1-ND;NXP;PCF2123TS
1;REGULATORDPAK;REGULATORDPAK;DPAK;U$3;;497-1235-1-ND;STMicro;497-1235-1-ND
1;SMDSWITCHKMR2;SMDSWITCHKMR2;KMR2;U$2;;;;
1;SUPERCAP414-VA5R;SUPERCAP414-VA5R;414-VA5R;C8;;587-2158-1-ND;Taiyo Yuden;PAS414HR-VA5R
1;TLC59282_DBQ_24;TLC59282_DBQ_24;DBQ24;U1;;296-28098-1-ND;TI;TLC59282DBQR
